 No   A    B    C    F    G    H   SS1  SS2  SS3  SS4  SS5 SS6  SS7  SS8  SS9  SS10 SS11 SS12 SS13  SS14  SS15  SS16  SS17 SS18
  1 -1.0 +0.0 +1.0 +0.0 +0.0 +0.0 +1.0 +0.0 -1.0 +1.0 +0.0 +1.0 +1.0 +0.0 +1.0 -1.0 -0.0 -1.0 +0.0 +0.0 +0.0 +0.0 +0.0 +0.0 
  2 -1.0 +0.1 +0.9 -0.1 +0.0 +0.0 +1.0 +0.0 -1.0 +1.0 +0.0 +1.0 +0.8 +0.2 +1.0 -0.8 -0.2 -1.0 +0.0 +0.0 -0.1 -0.1 -0.1 -0.1 
  3 -1.0 +0.1 +0.9 +0.1 +0.0 +0.0 +1.0 +0.2 -0.8 +0.8 +0.2 +1.0 +1.0 +0.0 +1.0 -1.0 -0.0 -1.0 +0.0 +0.0 +0.1 +0.1 +0.1 +0.1 
  4 -1.0 +0.2 +0.8 -0.2 +0.0 +0.0 +1.0 +0.0 -1.0 +1.0 +0.0 +1.0 +0.6 +0.4 +1.0 -0.6 -0.4 -1.0 +0.0 +0.0 -0.2 -0.2 -0.2 -0.2 
  5 -1.0 +0.2 +0.8 +0.2 +0.0 +0.0 +1.0 +0.4 -0.6 +0.6 +0.4 +1.0 +1.0 +0.0 +1.0 -1.0 -0.0 -1.0 +0.0 +0.0 +0.2 +0.2 +0.2 +0.2 
  6 -1.0 +0.8 +0.2 -0.2 +0.0 +0.0 +1.0 +0.6 -0.4 +0.4 +0.6 +1.0 +0.0 +1.0 +1.0 -0.0 -1.0 -1.0 +0.0 +0.0 -0.2 -0.2 -0.2 -0.2 
  7 -1.0 +0.8 +0.2 +0.2 +0.0 +0.0 +1.0 +1.0 -0.0 +0.0 +1.0 +1.0 +0.4 +0.6 +1.0 -0.4 -0.6 -1.0 +0.0 +0.0 +0.2 +0.2 +0.2 +0.2 
  8 -1.0 +0.9 +0.1 -0.1 +0.0 +0.0 +1.0 +0.8 -0.2 +0.2 +0.8 +1.0 +0.0 +1.0 +1.0 -0.0 -1.0 -1.0 +0.0 +0.0 -0.1 -0.1 -0.1 -0.1 
  9 -1.0 +0.9 +0.1 +0.1 +0.0 +0.0 +1.0 +1.0 -0.0 +0.0 +1.0 +1.0 +0.2 +0.8 +1.0 -0.2 -0.8 -1.0 +0.0 +0.0 +0.1 +0.1 +0.1 +0.1 
 10 -1.0 +1.0 +0.0 +0.0 +0.0 +0.0 +1.0 +1.0 -0.0 +0.0 +1.0 +1.0 +0.0 +1.0 +1.0 -0.0 -1.0 -1.0 +0.0 +0.0 +0.0 +0.0 +0.0 +0.0 
 11 -0.9 -0.1 +1.0 +0.0 +0.0 -0.1 +1.0 +0.0 -1.0 +1.0 -0.2 +0.8 +1.0 -0.2 +0.8 -1.0 -0.0 -1.0 -0.1 +0.1 -0.1 +0.1 +0.0 +0.0 
 12 -0.9 -0.1 +1.0 +0.0 +0.0 +0.1 +0.8 -0.2 -1.0 +1.0 +0.0 +1.0 +1.0 +0.0 +1.0 -1.0 +0.2 -0.8 +0.1 -0.1 +0.1 -0.1 +0.0 +0.0 
 13 -0.9 +1.0 -0.1 +0.0 -0.1 +0.0 +0.8 +1.0 +0.2 +0.0 +1.0 +1.0 -0.2 +1.0 +0.8 -0.0 -1.0 -1.0 -0.1 -0.1 +0.0 +0.0 -0.1 +0.1 
 14 -0.9 +1.0 -0.1 +0.0 +0.1 +0.0 +1.0 +1.0 -0.0 -0.2 +1.0 +0.8 +0.0 +1.0 +1.0 +0.2 -1.0 -0.8 +0.1 +0.1 +0.0 +0.0 +0.1 -0.1 
 15 -0.8 -0.2 +1.0 +0.0 +0.0 -0.2 +1.0 +0.0 -1.0 +1.0 -0.4 +0.6 +1.0 -0.4 +0.6 -1.0 -0.0 -1.0 -0.2 +0.2 -0.2 +0.2 +0.0 +0.0 
 16 -0.8 -0.2 +1.0 +0.0 +0.0 +0.2 +0.6 -0.4 -1.0 +1.0 +0.0 +1.0 +1.0 +0.0 +1.0 -1.0 +0.4 -0.6 +0.2 -0.2 +0.2 -0.2 +0.0 +0.0 
 17 -0.8 +1.0 -0.2 +0.0 -0.2 +0.0 +0.6 +1.0 +0.4 +0.0 +1.0 +1.0 -0.4 +1.0 +0.6 -0.0 -1.0 -1.0 -0.2 -0.2 +0.0 +0.0 -0.2 +0.2 
 18 -0.8 +1.0 -0.2 +0.0 +0.2 +0.0 +1.0 +1.0 -0.0 -0.4 +1.0 +0.6 +0.0 +1.0 +1.0 +0.4 -1.0 -0.6 +0.2 +0.2 +0.0 +0.0 +0.2 -0.2 
